Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14
;(2019-06-02;10:39:47.646356);can0;602;[8];00;00;0;00;0A;D7;01;00
;(2019-06-02;10:39:47.750029);can0;601;[8];00;00;10;1C;00;43;02;85
;(2019-06-02;10:39:47.750816);can0;602;[8];00;01;0;00;0D;D7;01;00
;(2019-06-02;10:39:47.850488);can0;601;[8];00;00;10;1C;00;8B;02;85
;(2019-06-02;10:39:47.851257);can0;602;[8];00;01;0;00;0E;D7;01;00
;(2019-06-02;10:39:47.950879);can0;601;[8];00;0B;10;1C;00;E5;02;85
;(2019-06-02;10:39:47.951631);can0;602;[8];00;01;0;00;10;D7;01;00
;(2019-06-02;10:39:48.051215);can0;601;[8];00;4D;10;1C;01;53;02;85
;(2019-06-02;10:39:48.051972);can0;602;[8];00;03;0;00;11;D7;01;00
;(2019-06-02;10:39:48.155662);can0;601;[8];00;BC;10;1C;01;BA;02;85
;(2019-06-02;10:39:48.156408);can0;602;[8];00;05;0;00;12;D7;01;00
;(2019-06-02;10:39:48.260068);can0;601;[8];01;83;10;1C;02;45;02;82
;(2019-06-02;10:39:48.260825);can0;602;[8];00;0D;0;00;13;D7;01;00
;(2019-06-02;10:39:48.364515);can0;601;[8];02;B3;10;1C;02;A6;02;80
;(2019-06-02;10:39:48.365270);can0;602;[8];00;16;0;00;14;D7;01;00
;(2019-06-02;10:39:48.468904);can0;601;[8];04;59;10;1C;02;F7;02;7D
;(2019-06-02;10:39:48.469657);can0;602;[8];00;22;0;00;14;D7;01;00
;(2019-06-02;10:39:48.573349);can0;601;[8];06;6C;10;1C;03;40;02;77
;(2019-06-02;10:39:48.574099);can0;602;[8];00;31;0;00;14;D7;01;00
;(2019-06-02;10:39:48.677761);can0;601;[8];08;A5;10;1C;03;59;02;6F
;(2019-06-02;10:39:48.678509);can0;602;[8];00;49;0;00;14;D7;01;00
;(2019-06-02;10:39:48.778118);can0;601;[8];0A;D5;10;1C;03;5F;02;69
;(2019-06-02;10:39:48.778865);can0;602;[8];00;5A;0;00;14;D7;01;00
;(2019-06-02;10:39:48.878518);can0;601;[8];0C;36;10;1C;02;6B;02;88
;(2019-06-02;10:39:48.879264);can0;602;[8];00;68;0;00;14;D7;0B;00
;(2019-06-02;10:39:48.982938);can0;601;[8];0B;64;10;1C;02;11;02;7A
;(2019-06-02;10:39:48.983688);can0;602;[8];00;61;0;00;14;D7;01;00
;(2019-06-02;10:39:49.087349);can0;601;[8];0B;9C;10;1C;01;62;02;80
;(2019-06-02;10:39:49.088098);can0;602;[8];00;63;0;00;14;D7;01;00
;(2019-06-02;10:39:49.191766);can0;601;[8];0B;8C;10;1C;00;EE;02;82
;(2019-06-02;10:39:49.192521);can0;602;[8];00;62;0;00;14;D7;01;00
;(2019-06-02;10:39:49.292183);can0;601;[8];0B;82;10;1C;00;E5;02;82
;(2019-06-02;10:39:49.292933);can0;602;[8];00;62;0;00;14;D7;01;00
;(2019-06-02;10:39:49.396598);can0;601;[8];0B;7C;10;1C;01;00;02;82
;(2019-06-02;10:39:49.397345);can0;602;[8];00;62;0;00;14;D7;01;00
